Frame, Timestamp, Time_of_day, Day_of_year, Longitude, Latitude, Altitude, Pitch, Roll, Yaw, Rain_ratio, Visibility, Snow_now
6, 0.05469, 20538.00, 105.00, 116.61498929, 39.96103585, 611.25445780, 2.95846462, 0.14504832, 353.06405640, 0.9973, 86.2009, 6.3300
7, 0.10938, 20538.00, 105.00, 116.61498062, 39.96108841, 610.96561887, 2.98851633, 0.17227016, 353.05499268, 0.9973, 86.1974, 6.3300
8, 0.17188, 20538.00, 105.00, 116.61497151, 39.96114372, 610.66385113, 3.01874399, 0.20002803, 353.04501343, 0.9973, 86.1933, 6.3300
9, 0.22656, 20538.00, 105.00, 116.61496282, 39.96119644, 610.37840738, 3.04621291, 0.22551163, 353.03518677, 0.9973, 86.1898, 6.3300
10, 0.28125, 20538.00, 105.00, 116.61495404, 39.96124973, 610.09208073, 3.07266569, 0.25023752, 353.02490234, 0.9973, 86.1862, 6.3300
11, 0.33594, 20538.00, 105.00, 116.61494518, 39.96130352, 609.80522638, 3.09809422, 0.27412722, 353.01425171, 0.9973, 86.1827, 6.3300
12, 0.39063, 20538.00, 105.00, 116.61493633, 39.96135729, 609.52078965, 3.12229538, 0.29693064, 353.00341797, 0.9973, 86.1786, 6.3300
13, 0.44531, 20538.00, 105.00, 116.61492791, 39.96140844, 609.25221777, 3.14422941, 0.31768045, 352.99295044, 0.9973, 86.1750, 6.3300
14, 0.50000, 20538.00, 105.00, 116.61491951, 39.96145946, 608.98639088, 3.16511154, 0.33749041, 352.98236084, 0.9973, 86.1715, 6.3300
15, 0.55469, 20538.00, 105.00, 116.61491095, 39.96151151, 608.71727510, 3.18565583, 0.35683578, 352.97149658, 0.9973, 86.1679, 6.3300
16, 0.60938, 20538.00, 105.00, 116.61490220, 39.96156470, 608.44434462, 3.20615840, 0.37577102, 352.96029663, 0.9973, 86.1644, 6.3300
17, 0.67188, 20538.00, 105.00, 116.61489336, 39.96161850, 608.17047737, 3.22665739, 0.39413270, 352.94900513, 0.9973, 86.1608, 6.3300
18, 0.72656, 20538.00, 105.00, 116.61488452, 39.96167232, 607.89857414, 3.24717093, 0.41177627, 352.93774414, 0.9973, 86.1573, 6.3300
19, 0.78125, 20538.00, 105.00, 116.61487564, 39.96172635, 607.62777845, 3.26795411, 0.42879403, 352.92648315, 0.9973, 86.1532, 6.3300
20, 0.84375, 20538.00, 105.00, 116.61486673, 39.96178058, 607.35806800, 3.28922939, 0.44182009, 352.91531372, 0.9973, 86.1496, 6.3300
21, 0.89844, 20538.00, 105.00, 116.61485781, 39.96183492, 607.08984656, 3.31119728, 0.44678134, 352.90420532, 0.9973, 86.1461, 6.3300
22, 0.96094, 20538.00, 105.00, 116.61484868, 39.96189059, 606.81719601, 3.33447146, 0.44304237, 352.89288330, 0.9973, 86.1420, 6.3300
23, 1.02344, 20538.00, 105.00, 116.61483895, 39.96194988, 606.52913497, 3.36004400, 0.43290758, 352.88104248, 0.9973, 86.1380, 6.3300
24, 1.07813, 20538.00, 105.00, 116.61483019, 39.96200330, 606.27172039, 3.38360000, 0.42311504, 352.87054443, 0.9973, 86.1344, 6.3300
25, 1.13281, 20538.00, 105.00, 116.61482131, 39.96205742, 606.01309965, 3.40781188, 0.41321626, 352.86019897, 0.9973, 86.1309, 6.3300
26, 1.18750, 20538.00, 105.00, 116.61481261, 39.96211051, 605.76151060, 3.43145442, 0.40358156, 352.85028076, 0.9973, 86.1273, 6.3300
27, 1.24219, 20538.00, 105.00, 116.61480390, 39.96216368, 605.51170872, 3.45459485, 0.39402005, 352.84063721, 0.9973, 86.1232, 6.3300
28, 1.29688, 20538.00, 105.00, 116.61479518, 39.96221691, 605.26378844, 3.47686577, 0.38454226, 352.83126831, 0.9973, 86.1197, 6.3300
29, 1.35938, 20538.00, 105.00, 116.61478645, 39.96227022, 605.01770654, 3.49798870, 0.37515306, 352.82214355, 0.9973, 86.1161, 6.3300
30, 1.42188, 20538.00, 105.00, 116.61477687, 39.96232874, 604.75012824, 3.51956010, 0.36497259, 352.81256104, 0.9973, 86.1121, 6.3300
31, 1.47656, 20538.00, 105.00, 116.61476781, 39.96238404, 604.49977726, 3.53822184, 0.35548344, 352.80383301, 0.9973, 86.1085, 6.3300
32, 1.53125, 20538.00, 105.00, 116.61475894, 39.96243824, 604.25668925, 3.55478144, 0.34631136, 352.79565430, 0.9973, 86.1044, 6.3300
33, 1.59375, 20538.00, 105.00, 116.61475034, 39.96249083, 604.02293909, 3.56913733, 0.33753869, 352.78805542, 0.9973, 86.1009, 6.3300
34, 1.64844, 20538.00, 105.00, 116.61474155, 39.96254455, 603.78631125, 3.58294511, 0.32871661, 352.78073120, 0.9973, 86.0973, 6.3300
35, 1.70313, 20538.00, 105.00, 116.61473255, 39.96259955, 603.54613202, 3.59654140, 0.31983063, 352.77359009, 0.9973, 86.0933, 6.3300
36, 1.76563, 20538.00, 105.00, 116.61472372, 39.96265355, 603.31243639, 3.60908198, 0.31125766, 352.76702881, 0.9973, 86.0897, 6.3300
37, 1.82031, 20538.00, 105.00, 116.61471505, 39.96270659, 603.08492975, 3.62036586, 0.30298820, 352.76098633, 0.9973, 86.0862, 6.3300
38, 1.87500, 20538.00, 105.00, 116.61470607, 39.96276153, 602.85131840, 3.63075161, 0.29458261, 352.75509644, 0.9973, 86.0826, 6.3300
39, 1.93750, 20538.00, 105.00, 116.61469718, 39.96281592, 602.62206500, 3.63957834, 0.28642523, 352.74972534, 0.9973, 86.0786, 6.3300
40, 1.99219, 20538.00, 105.00, 116.61468847, 39.96286923, 602.39937482, 3.64660954, 0.27859533, 352.74490356, 0.9973, 86.0750, 6.3300
41, 2.04688, 20538.00, 105.00, 116.61467976, 39.96292249, 602.17873991, 3.65170455, 0.27093408, 352.74050903, 0.9973, 86.0714, 6.3300
42, 2.10156, 20538.00, 105.00, 116.61467112, 39.96297536, 601.96163093, 3.65452290, 0.26349476, 352.73648071, 0.9973, 86.0679, 6.3300
43, 2.16406, 20538.00, 105.00, 116.61466272, 39.96302678, 601.75217443, 3.65487790, 0.25641707, 352.73300171, 0.9973, 86.0643, 6.3300
44, 2.22656, 20538.00, 105.00, 116.61465325, 39.96308477, 601.51800245, 3.65220046, 0.24862762, 352.72955322, 0.9973, 86.0603, 6.3300
45, 2.28125, 20538.00, 105.00, 116.61464303, 39.96314730, 601.26781696, 3.64546847, 0.24045853, 352.72637939, 0.9973, 86.0557, 6.3300
46, 2.34375, 20538.00, 105.00, 116.61463418, 39.96320151, 601.05269926, 3.63640285, 0.23356628, 352.72402954, 0.9973, 86.0521, 6.3300
47, 2.39844, 20538.00, 105.00, 116.61462559, 39.96325412, 600.84547236, 3.62470102, 0.22705020, 352.72216797, 0.9973, 86.0486, 6.3300
48, 2.46094, 20538.00, 105.00, 116.61461575, 39.96331432, 600.61008060, 3.60779548, 0.21980408, 352.72052002, 0.9973, 86.0445, 6.3300
49, 2.51563, 20538.00, 105.00, 116.61460670, 39.96336979, 600.39467225, 3.58907819, 0.21332353, 352.71942139, 0.9973, 86.0405, 6.3300
50, 2.57031, 20538.00, 105.00, 116.61459823, 39.96342162, 600.19452202, 3.56904626, 0.20743670, 352.71875000, 0.9973, 86.0369, 6.3300
51, 2.62500, 20538.00, 105.00, 116.61458975, 39.96347360, 599.99484323, 3.54663587, 0.20169869, 352.71844482, 0.9973, 86.0334, 6.3300
52, 2.68750, 20538.00, 105.00, 116.61458119, 39.96352603, 599.79429562, 3.52193832, 0.19607650, 352.71850586, 0.9973, 86.0298, 6.3300
53, 2.74219, 20538.00, 105.00, 116.61457217, 39.96358123, 599.58393457, 3.49410081, 0.19033568, 352.71890259, 0.9973, 86.0263, 6.3300
54, 2.80469, 20538.00, 105.00, 116.61456347, 39.96363455, 599.38136211, 3.46588016, 0.18496235, 352.71963501, 0.9973, 86.0222, 6.3300
55, 2.85938, 20538.00, 105.00, 116.61455447, 39.96368967, 599.17241468, 3.43573976, 0.17958313, 352.72076416, 0.9973, 86.0186, 6.3300
56, 2.92188, 20538.00, 105.00, 116.61454539, 39.96374527, 598.96194081, 3.40470004, 0.17433436, 352.72225952, 0.9973, 86.0146, 6.3300
